name,city,country,iata_code,_geoloc,links_count,objectID
Saint Catherine,Calvi,France,CLY,"{'lat': 42.530753, 'lng': 8.793189}",40,1322
Murcia San Javier,Murcia,Spain,MJV,"{'lat': 37.774972, 'lng': -0.8123889999999999}",40,1227
Harrisburg Intl,Harrisburg,United States,MDT,"{'lat': 40.193494, 'lng': -76.763403}",39,3542
Del Caribe Intl Gen Santiago Marino,Porlamar,Venezuela,PMV,"{'lat': 10.912926, 'lng': -63.967581}",39,2850
Reus,Reus,Spain,REU,"{'lat': 41.147392, 'lng': 1.1671719999999999}",39,1236
Zhanjiang Airport,Zhanjiang,China,ZHA,"{'lat': 21.2144, 'lng': 110.358}",38,6357
Bournemouth,Bournemouth,United Kingdom,BOH,"{'lat': 50.78, 'lng': -1.8425}",38,494
Yaounde Nsimalen,Yaounde,Cameroon,NSI,"{'lat': 3.722556, 'lng': 11.553269}",38,4161
Windhoek Hosea Kutako International Airport ,Windhoek,Namibia,WDH,"{'lat': -22.486667, 'lng': 17.4625}",38,4105
Kaunas Intl,Kaunas,Lithuania,KUN,"{'lat': 54.963919, 'lng': 24.084778}",38,3956
Leite Lopes,Ribeirao Preto,Brazil,RAO,"{'lat': -21.134167, 'lng': -47.774189}",38,2613
Bandar Abbass Intl,Bandar Abbas,Iran,BND,"{'lat': 27.218317, 'lng': 56.37785}",38,2134
Graz,Graz,Austria,GRZ,"{'lat': 46.991067, 'lng': 15.439628}",38,1609
Santander,Santander,Spain,SDR,"{'lat': 43.427064, 'lng': -3.8200060000000002}",38,1251
Ibn Batouta,Tanger,Morocco,TNG,"{'lat': 35.726917, 'lng': -5.916889}",38,1080
Odesa Intl,Odessa,Ukraine,ODS,"{'lat': 46.426767, 'lng': 30.676464}",37,2947
Hewanorra Intl,Hewandorra,Saint Lucia,UVF,"{'lat': 13.733194, 'lng': -60.952597}",37,2894
Nairobi Wilson,Nairobi,Kenya,WIL,"{'lat': -1.3217189999999999, 'lng': 36.814833}",37,1147
Yangzhou Taizhou Airport,Yangzhou,China,YTY,"{'lat': 32.5617, 'lng': 119.715}",36,8876
Pointe Noire,Pointe-noire,Congo (Brazzaville),PNR,"{'lat': -4.816028, 'lng': 11.886597}",36,886
Yiwu Airport,Yiwu,China,YIW,"{'lat': 29.3447, 'lng': 120.032}",36,6394
Shubuling Airport,Linyi,China,LYI,"{'lat': 35.0461, 'lng': 118.412}",36,6385
El Aroui Airport,El Aroui,Morocco,NDR,"{'lat': 34.9888, 'lng': -3.02821}",36,5673
Iqaluit,Iqaluit,Canada,YFB,"{'lat': 63.75639, 'lng': -68.555832}",36,55
Nantong Airport,Nantong,China,NTG,"{'lat': 32.0708, 'lng': 120.976}",36,5475
Guernsey,Guernsey,Guernsey,GCI,"{'lat': 49.434956, 'lng': -2.601969}",36,498
Nizhny Novgorod,Nizhniy Novgorod,Russia,GOJ,"{'lat': 56.230119, 'lng': 43.784042}",36,4274
Conakry,Conakry,Guinea,CKY,"{'lat': 9.576889, 'lng': -13.611961}",36,4162
Huntsville International Airport-Carl T Jones Field,Huntsville,United States,HSV,"{'lat': 34.6371944, 'lng': -86.7750556}",36,4113
Bob Hope,Burbank,United States,BUR,"{'lat': 34.200667, 'lng': -118.358667}",36,3644
Long Beach,Long Beach,United States,LGB,"{'lat': 33.817722, 'lng': -118.151611}",36,3582
Jackson Evers Intl,Jackson,United States,JAN,"{'lat': 32.311167, 'lng': -90.075889}",36,3580
Dongshan,Hailar,China,HLD,"{'lat': 49.204997, 'lng': 119.825}",36,3366
Sultan Ismail,Johor Bahru,Malaysia,JHB,"{'lat': 1.641308, 'lng': 103.669619}",36,3303
Sultan Syarif Kasim Ii,Pekanbaru,Indonesia,PKU,"{'lat': 0.460786, 'lng': 101.444539}",36,3273
Samui,Ko Samui,Thailand,USM,"{'lat': 9.547794, 'lng': 100.062272}",36,3177
Lucknow,Lucknow,India,LKO,"{'lat': 26.760594, 'lng': 80.889339}",36,3105
Vishakhapatnam,Vishakhapatnam,India,VTZ,"{'lat': 17.721167, 'lng': 83.224483}",36,3066
Silvio Pettirossi Intl,Asuncion,Paraguay,ASU,"{'lat': -25.23985, 'lng': -57.519133}",36,2699
Kalibo,Kalibo,Philippines,KLO,"{'lat': 11.679431, 'lng': 122.376294}",36,2430
Kagoshima,Kagoshima,Japan,KOJ,"{'lat': 31.803397, 'lng': 130.719408}",36,2307
Toncontin Intl,Tegucigalpa,Honduras,TGU,"{'lat': 14.060883, 'lng': -87.217197}",36,1776
Almeria,Almeria,Spain,LEI,"{'lat': 36.843936, 'lng': -2.370097}",36,1213
Saiss,Fes,Morocco,FEZ,"{'lat': 33.927261, 'lng': -4.977958}",36,1066
Charlotte County-Punta Gorda Airport,Punta Gorda,United States,PGD,"{'lat': 26.919722, 'lng': -81.990556}",35,7056
Bodo,Bodo,Norway,BOO,"{'lat': 67.269167, 'lng': 14.365278}",35,635
Cedar Rapids,Cedar Rapids,United States,CID,"{'lat': 41.884694, 'lng': -91.710806}",35,4043
Sentani,Jayapura,Indonesia,DJJ,"{'lat': -2.576953, 'lng': 140.516372}",35,3244
Melville Hall,Dominica,Dominica,DOM,"{'lat': 15.547028, 'lng': -61.3}",35,2877
Amilcar Cabral Intl,Amilcar Cabral,Cape Verde,SID,"{'lat': 16.741389, 'lng': -22.949444}",35,1102
Maputo,Maputo,Mozambique,MPM,"{'lat': -25.920836, 'lng': 32.572606}",34,979
Yancheng Airport,Yancheng,China,YNZ,"{'lat': 33.3856, 'lng': 120.125}",34,6393
Praia International Airport,Praia, Santiago Island,Cape Verde,"{'lat': 0.0, 'lng': 14.9245}",34,5674
Achmad Yani,Semarang,Indonesia,SRG,"{'lat': -6.9714469999999995, 'lng': 110.374122}",34,3901
Columbia Metropolitan,Columbia,United States,CAE,"{'lat': 33.938833, 'lng': -81.119528}",34,3561
Dane Co Rgnl Truax Fld,Madison,United States,MSN,"{'lat': 43.139858, 'lng': -89.337514}",34,3459
Langkawi Intl,Pulau,Malaysia,LGK,"{'lat': 6.329728, 'lng': 99.728667}",34,3305
Coimbatore,Coimbatore,India,CJB,"{'lat': 11.030031, 'lng': 77.043383}",34,3135
Jaipur,Jaipur,India,JAI,"{'lat': 26.824192, 'lng': 75.812161}",34,3098
Omsk,Omsk,Russia,OMS,"{'lat': 54.967042, 'lng': 73.310514}",34,2958
Lviv Intl,Lvov,Ukraine,LWO,"{'lat': 49.8125, 'lng': 23.956111}",34,2945
Diori Hamani,Niamey,Niger,NIM,"{'lat': 13.481547, 'lng': 2.183614}",34,280
Campo Grande,Campo Grande,Brazil,CGR,"{'lat': -20.468667, 'lng': -54.6725}",34,2538
Hiroshima,Hiroshima,Japan,HIJ,"{'lat': 34.436111, 'lng': 132.919444}",34,2326
Komatsu,Kanazawa,Japan,KMQ,"{'lat': 36.394611, 'lng': 136.406544}",34,2322
Nagasaki,Nagasaki,Japan,NGS,"{'lat': 32.916944, 'lng': 129.913611}",34,2313
Sioux Lookout,Sioux Lookout,Canada,YXL,"{'lat': 50.113889, 'lng': -91.905278}",34,169
Adana,Adana,Turkey,ADA,"{'lat': 36.982166, 'lng': 35.280388}",34,1685
Guipavas,Brest,France,BES,"{'lat': 48.447911, 'lng': -4.418539}",34,1403
Asturias,Aviles,Spain,OVD,"{'lat': 43.563567, 'lng': -6.034622}",34,1214
Key West Intl,Key West,United States,EYW,"{'lat': 24.556111, 'lng': -81.759556}",33,3875
Long Island Mac Arthur,Islip,United States,ISP,"{'lat': 40.79525, 'lng': -73.100222}",33,3857
Mandalay Intl,Mandalay,Burma,MDL,"{'lat': 21.702156, 'lng': 95.977928}",33,3222
Khomutovo,Yuzhno-sakhalinsk,Russia,UUS,"{'lat': 46.888672, 'lng': 142.717531}",33,2933
Kish Island,Kish Island,Iran,KIH,"{'lat': 26.526156, 'lng': 53.980211}",33,2109
General R Fierro Villalobos Intl,Chihuahua,Mexico,CUU,"{'lat': 28.702875, 'lng': -105.964567}",33,1797
Dionysios Solomos,Zakynthos,Greece,ZTH,"{'lat': 37.750853, 'lng': 20.88425}",33,1488
Regina Intl,Regina,Canada,YQR,"{'lat': 50.431944, 'lng': -104.665833}",33,120
Lombok International Airport,Praya,Indonesia,LOP,"{'lat': -8.7573222, 'lng': 116.276675}",32,8401
Sturup,Malmoe,Sweden,MMX,"{'lat': 55.530193, 'lng': 13.371639}",32,708
Lianyungang Airport,Lianyungang,China,LYG,"{'lat': 34.55, 'lng': 119.25}",32,6383
Jingdezhen Airport,Jingdezhen,China,JDZ,"{'lat': 29.3386, 'lng': 117.176}",32,6380
Changzhi Airport,Changzhi,China,CIH,"{'lat': 36.2475, 'lng': 113.126}",32,6343
Niigata,Niigata,Japan,KIJ,"{'lat': 37.5711, 'lng': 139.0646}",32,4381
Novyi Urengoy,Novy Urengoy,Russia,NUX,"{'lat': 66.041811, 'lng': 76.313938}",32,4364
Jiuzhaigou Huanglong,Jiuzhaigou,China,JZH,"{'lat': 32.857, 'lng': 103.683}",32,4301
Fort Wayne,Fort Wayne,United States,FWA,"{'lat': 40.978472, 'lng': -85.195139}",32,4041
Lovell Fld,Chattanooga,United States,CHA,"{'lat': 35.035278, 'lng': -85.203808}",32,3578
Townsville,Townsville,Australia,TSV,"{'lat': -19.2525, 'lng': 146.765278}",32,3330
Krabi,Krabi,Thailand,KBV,"{'lat': 8.095969, 'lng': 98.988764}",32,3174
Shah Amanat Intl,Chittagong,Bangladesh,CGP,"{'lat': 22.249611, 'lng': 91.813286}",32,3069
Bagdogra,Baghdogra,India,IXB,"{'lat': 26.681206, 'lng': 88.328567}",32,3040
Devi Ahilyabai Holkar,Indore,India,IDR,"{'lat': 22.721786, 'lng': 75.801086}",32,3008
Goiabeiras,Vitoria,Brazil,VIX,"{'lat': -20.258056, 'lng': -40.286389}",32,2638
Augusto Severo,Natal,Brazil,NAT,"{'lat': -5.911417, 'lng': -35.247717}",32,2597
Mohamed Boudiaf Intl,Constantine,Algeria,CZL,"{'lat': 36.276028, 'lng': 6.620386}",32,221
General Heriberto Jara Intl,Vera Cruz,Mexico,VER,"{'lat': 19.145931, 'lng': -96.187267}",32,1854
Cozumel Intl,Cozumel,Mexico,CZM,"{'lat': 20.522403, 'lng': -86.925644}",32,1800
Culiacan Intl,Culiacan,Mexico,CUL,"{'lat': 24.764547, 'lng': -107.474717}",32,1792
Podgorica,Podgorica,Montenegro,TGD,"{'lat': 42.359392, 'lng': 19.251894}",32,1741
Sarajevo,Sarajevo,Bosnia and Herzegovina,SJJ,"{'lat': 43.824583, 'lng': 18.331467}",32,1646
Monrovia Roberts Intl,Monrovia,Liberia,ROB,"{'lat': 6.233789, 'lng': -10.362311}",32,1063
Mangalore,Mangalore,India,IXE,"{'lat': 12.961267, 'lng': 74.890069}",31,3143
Habib Bourguiba Intl,Monastir,Tunisia,MIR,"{'lat': 35.758056, 'lng': 10.754722}",31,286
Marechal Cunha Machado Intl,Sao Luis,Brazil,SLZ,"{'lat': -2.585361, 'lng': -44.234139}",31,2616
Wabush,Wabush,Canada,YWK,"{'lat': 52.921944, 'lng': -66.864444}",31,161
Santorini,Thira,Greece,JTR,"{'lat': 36.399169, 'lng': 25.479333}",31,1479
Dzaoudzi Pamandzi,Dzaoudzi,Mayotte,DZA,"{'lat': -12.804722, 'lng': 45.281113}",30,915
Kelowna,Kelowna,Canada,YLW,"{'lat': 49.956112, 'lng': -119.377778}",30,87
Nanping Wuyishan Airport,Wuyishan,China,WUS,"{'lat': 27.7019, 'lng': 118.001}",30,6391
Chifeng Airport,Chifeng,China,CIF,"{'lat': 42.235, 'lng': 118.908}",30,6342
Ireland West Knock,Connaught,Ireland,NOC,"{'lat': 53.910297, 'lng': -8.818491999999999}",30,600
Quad City Intl,Moline,United States,MLI,"{'lat': 41.448528, 'lng': -90.507539}",30,4072
Bermuda Intl,Bermuda,Bermuda,BDA,"{'lat': 32.364042, 'lng': -64.678703}",30,4069
Peoria Regional,Peoria,United States,PIA,"{'lat': 40.664203, 'lng': -89.693258}",30,4046
Roanoke Regional,Roanoke VA,United States,ROA,"{'lat': 37.325472, 'lng': -79.975417}",30,4016
Tallahassee Rgnl,Tallahassee,United States,TLH,"{'lat': 30.396528, 'lng': -84.350333}",30,3698
Spokane Intl,Spokane,United States,GEG,"{'lat': 47.619861, 'lng': -117.533833}",30,3467
Dr Ambedkar Intl,Nagpur,India,NAG,"{'lat': 21.092192, 'lng': 79.047183}",30,3015
Ashgabat,Ashkhabad,Turkmenistan,ASB,"{'lat': 37.986814, 'lng': 58.360967}",30,2976
Khrabrovo,Kaliningrad,Russia,KGD,"{'lat': 54.89005, 'lng': 20.592633}",30,2952
Donetsk Intl,Donetsk,Ukraine,DOK,"{'lat': 48.073611, 'lng': 37.739722}",30,2940
Ten Cel Av Cesar Bombonato,Uberlandia,Brazil,UDI,"{'lat': -18.882844, 'lng': -48.225594}",30,2633
Tabriz Intl,Tabriz,Iran,TBZ,"{'lat': 38.133889, 'lng': 46.235}",30,2162
Grand Bahama Intl,Freeport,Bahamas,FPO,"{'lat': 26.558686, 'lng': -78.695553}",30,1948
Goose Bay,Goose Bay,Canada,YYR,"{'lat': 53.319168, 'lng': -60.425833}",30,188
General Rafael Buelna Intl,Mazatlan,Mexico,MZT,"{'lat': 23.161356, 'lng': -106.266072}",30,1826
Licenciado Manuel Crescencio Rejon Int,Merida,Mexico,MID,"{'lat': 20.936981, 'lng': -89.657672}",30,1819
Saskatoon J G Diefenbaker Intl,Saskatoon,Canada,YXE,"{'lat': 52.170834, 'lng': -106.699722}",30,166
Pula,Pula,Croatia,PUY,"{'lat': 44.893533, 'lng': 13.922192}",30,1203
Alykel,Norilsk,Russia,NSK,"{'lat': 69.311053, 'lng': 87.332183}",29,4352
Syamsudin Noor,Banjarmasin,Indonesia,BDJ,"{'lat': -3.442356, 'lng': 114.762553}",29,3908
Srinagar,Srinagar,India,SXR,"{'lat': 33.987139, 'lng': 74.77425}",29,3112
Point Salines Intl,Point Salines,Grenada,GND,"{'lat': 12.004247, 'lng': -61.786192}",29,2882
Abha,Abha,Saudi Arabia,AHB,"{'lat': 18.240367, 'lng': 42.656625}",29,2059
Managua Intl,Managua,Nicaragua,MGA,"{'lat': 12.141494, 'lng': -86.168178}",29,1863
Guanajuato Intl,Del Bajio,Mexico,BJX,"{'lat': 20.993464, 'lng': -101.480847}",29,1815
Gregorio Luperon Intl,Puerto Plata,Dominican Republic,POP,"{'lat': 19.7579, 'lng': -70.570033}",29,1761
Malabo,Malabo,Equatorial Guinea,SSG,"{'lat': 3.755267, 'lng': 8.708717}",28,891
Yanji Airport,Yanji,China,YNJ,"{'lat': 42.8828, 'lng': 129.451258}",28,6414
Huangyan Luqiao Airport,Huangyan,China,HYN,"{'lat': 28.5622, 'lng': 121.429}",28,6384
Bailian Airport,Liuzhou,China,LZH,"{'lat': 24.2075, 'lng': 109.391}",28,6356
Ercan International Airport,Nicosia,Cyprus,ECN,"{'lat': 35.1547, 'lng': 33.4961}",28,5780
Southend,Southend,United Kingdom,SEN,"{'lat': 51.571388999999996, 'lng': 0.695556}",28,508
Springfield Branson Natl,Springfield,United States,SGF,"{'lat': 37.245667, 'lng': -93.388639}",28,4348
Hector International Airport,Fargo,United States,FAR,"{'lat': 46.92065, 'lng': -96.8157639}",28,4292
Baghdad International Airport,Baghdad,Iraq,BGW,"{'lat': 33.262539, 'lng': 44.234578}",28,4130
Santarem,Santarem,Brazil,STM,"{'lat': -2.422431, 'lng': -54.792789}",28,4092
Francisco Bangoy International,Davao,Philippines,DVO,"{'lat': 7.125522, 'lng': 125.645778}",28,4090
Trenton Mercer,Trenton,United States,TTN,"{'lat': 40.276692, 'lng': -74.813469}",28,3447
Sultan Ismail Petra,Kota Bahru,Malaysia,KBR,"{'lat': 6.16685, 'lng': 102.293014}",28,3298
Pattimura,Ambon,Indonesia,AMQ,"{'lat': -3.710264, 'lng': 128.089136}",28,3256
Surgut,Surgut,Russia,SGC,"{'lat': 61.343694, 'lng': 73.401842}",28,2974
Nizhnevartovsk,Nizhnevartovsk,Russia,NJC,"{'lat': 60.949272, 'lng': 76.483617}",28,2972
Dnipropetrovsk Intl,Dnepropetrovsk,Ukraine,DNK,"{'lat': 48.357222, 'lng': 35.100556}",28,2941
La Chinita Intl,Maracaibo,Venezuela,MAR,"{'lat': 10.558208, 'lng': -71.727856}",28,2848
Ishigaki,Ishigaki,Japan,ISG,"{'lat': 24.344525, 'lng': 124.186983}",28,2387
Quetta,Quetta,Pakistan,UET,"{'lat': 30.251369, 'lng': 66.937764}",28,2221
Marsh Harbour,Marsh Harbor,Bahamas,MHH,"{'lat': 26.511406, 'lng': -77.083472}",28,1930
Juan Manuel Galvez Intl,Roatan,Honduras,RTB,"{'lat': 16.316814, 'lng': -86.522961}",28,1774
City Centre,Toronto,Canada,YTZ,"{'lat': 43.627499, 'lng': -79.396167}",28,144
Sud Corse,Figari,France,FSC,"{'lat': 41.500557, 'lng': 9.097777}",28,1323
Anglet,Biarritz-bayonne,France,BIQ,"{'lat': 43.468419, 'lng': -1.5233249999999998}",28,1280
Rabil,Boa Vista,Cape Verde,BVC,"{'lat': 16.136531, 'lng': -22.888897}",28,1103
Mahlon Sweet Fld,Eugene,United States,EUG,"{'lat': 44.124583, 'lng': -123.211972}",27,4099
City Of Colorado Springs Muni,Colorado Springs,United States,COS,"{'lat': 38.805805, 'lng': -104.700778}",27,3819
Burlington Intl,Burlington,United States,BTV,"{'lat': 44.471861, 'lng': -73.153278}",27,3711
Sultan Mahmud Badaruddin Ii,Palembang,Indonesia,PLM,"{'lat': -2.89825, 'lng': 104.699903}",27,3289
Rarotonga Intl,Avarua,Cook Islands,RAR,"{'lat': -21.202739, 'lng': -159.805556}",27,1959
Licenciado Adolfo Lopez Mateos Intl,Toluca,Mexico,TLC,"{'lat': 19.337072, 'lng': -99.566008}",27,1850
Thunder Bay,Thunder Bay,Canada,YQT,"{'lat': 48.371944, 'lng': -89.323889}",27,121
Bujumbura Intl,Bujumbura,Burundi,BJM,"{'lat': -3.324019, 'lng': 29.318519}",27,1120
Seychelles Intl,Mahe,Seychelles,SEZ,"{'lat': -4.674342, 'lng': 55.521839}",26,994
Luzhou Airport,Luzhou,China,LZO,"{'lat': 28.8522, 'lng': 105.393}",26,6399
Zhoushan Airport,Zhoushan,China,HSN,"{'lat': 29.9342, 'lng': 122.362}",26,6395
Ganzhou Airport,Ganzhou,China,KOW,"{'lat': 25.8258, 'lng': 114.912}",26,6379
Xiangfan Airport,Xiangfan,China,XFN,"{'lat': 32.1506, 'lng': 112.291}",26,6360
Tongliao Airport,Tongliao,China,TGO,"{'lat': 43.5567, 'lng': 122.2}",26,6348
Vigra,Alesund,Norway,AES,"{'lat': 62.560372, 'lng': 6.110164}",26,630
Lehigh Valley Intl,Allentown,United States,ABE,"{'lat': 40.652083, 'lng': -75.440806}",26,4355
Diosdado Macapagal International,Angeles City,Philippines,CRK,"{'lat': 15.185833, 'lng': 120.560278}",26,4140
Bishop International,Flint,United States,FNT,"{'lat': 42.965424, 'lng': -83.743629}",26,4089
Sarasota Bradenton Intl,Sarasota,United States,SRQ,"{'lat': 27.395444, 'lng': -82.554389}",26,4067
Charlottesville-Albemarle,Charlottesville VA,United States,CHO,"{'lat': 38.138639, 'lng': -78.452861}",26,4015
Sioux Falls,Sioux Falls,United States,FSD,"{'lat': 43.582014, 'lng': -96.741914}",26,4009
Wilmington Intl,Wilmington,United States,ILM,"{'lat': 34.270615, 'lng': -77.902569}",26,3845
Friedrichshafen,Friedrichshafen,Germany,FDH,"{'lat': 47.671317, 'lng': 9.511486}",26,382
Kashi,Kashi,China,KHG,"{'lat': 39.542922, 'lng': 76.019956}",26,3397
Canberra,Canberra,Australia,CBR,"{'lat': -35.306944, 'lng': 149.195}",26,3355
Mount Isa,Mount Isa,Australia,ISA,"{'lat': -20.663889, 'lng': 139.488611}",26,3324
Luang Phabang Intl,Luang Prabang,Laos,LPQ,"{'lat': 19.897914, 'lng': 102.160764}",26,3115
Zumbi Dos Palmares,Maceio,Brazil,MCZ,"{'lat': -9.510808, 'lng': -35.791678}",26,2590
Santa Maria,Aracaju,Brazil,AJU,"{'lat': -10.984, 'lng': -37.070333}",26,2522
Ambrosio L V Taravella,Cordoba,Argentina,COR,"{'lat': -31.323619, 'lng': -64.207953}",26,2443
Okayama,Okayama,Japan,OKJ,"{'lat': 34.756944, 'lng': 133.855278}",26,2327
Taif,Taif,Saudi Arabia,TIF,"{'lat': 21.483418, 'lng': 40.544334}",26,2090
La Tontouta,Noumea,New Caledonia,NOU,"{'lat': -22.014553, 'lng': 166.212972}",26,2005
C P A Carlos Rovirosa Intl,Villahermosa,Mexico,VSA,"{'lat': 17.997, 'lng': -92.817361}",26,1853
Victoria Intl,Victoria,Canada,YYJ,"{'lat': 48.646944, 'lng': -123.425833}",26,184
Traian Vuia,Timisoara,Romania,TSR,"{'lat': 45.809861, 'lng': 21.337861}",26,1663
Mikonos,Mykonos,Greece,JMK,"{'lat': 37.435128, 'lng': 25.348103}",26,1468
St Jacques,Rennes,France,RNS,"{'lat': 48.069508, 'lng': -1.734794}",26,1415
Mombasa Moi Intl,Mombasa,Kenya,MBA,"{'lat': -4.034833, 'lng': 39.59425}",26,1145
Banjul Intl,Banjul,Gambia,BJL,"{'lat': 13.337961, 'lng': -16.652206}",26,1050
Fort Mcmurray,Fort Mcmurray,Canada,YMM,"{'lat': 56.653333, 'lng': -111.221944}",25,90
Aniak Airport,Aniak,United States,ANI,"{'lat': 61.5816, 'lng': -159.543}",25,5967
Tokua Airport,Tokua,Papua New Guinea,RAB,"{'lat': -4.34046, 'lng': 152.38}",25,5435
Patna,Patina,India,PAT,"{'lat': 25.591317, 'lng': 85.087992}",25,3061
Pampulha Carlos Drummond De Andrade,Belo Horizonte,Brazil,PLU,"{'lat': -19.851181, 'lng': -43.950628}",25,2528
Gassim,Gassim,Saudi Arabia,ELQ,"{'lat': 26.302822, 'lng': 43.773911}",25,2067
Kamuzu Intl,Lilongwe,Malawi,LLW,"{'lat': -13.789378, 'lng': 33.781}",25,1016
Huai An Lianshui Airport,Huai An,China,HIA,"{'lat': 33.7772, 'lng': 119.1478}",24,7898
Karmoy,Haugesund,Norway,HAU,"{'lat': 59.345267, 'lng': 5.2083639999999995}",24,645
Wanxian Airport,Wanxian,China,WXN,"{'lat': 30.836100000000002, 'lng': 108.406}",24,6403
Yulin Airport,Yulin,China,UYN,"{'lat': 38.2692, 'lng': 109.731}",24,6368
Namangan Airport,Namangan,Uzbekistan,NMA,"{'lat': 40.9846, 'lng': 71.5567}",24,6150
Misratah Airport,Misratah,Libya,MRA,"{'lat': 32.325, 'lng': 15.061}",24,5804
Aden Adde International Airport,Mogadishu,Somalia,MGQ,"{'lat': 2.01444, 'lng': 45.3047}",24,5687
Tampere Pirkkala,Tampere,Finland,TMP,"{'lat': 61.414147, 'lng': 23.604392}",24,458
Broome,Broome,Australia,BME,"{'lat': -17.8, 'lng': 122.2}",24,4319
Central Illinois Rgnl,Bloomington,United States,BMI,"{'lat': 40.477111, 'lng': -88.915917}",24,4037
Billings Logan International Airport,Billings,United States,BIL,"{'lat': 45.80921, 'lng': -108.537654}",24,4021
Asheville Regional Airport,Asheville,United States,AVL,"{'lat': 35.436194, 'lng': -82.541806}",24,4007
Kobe,Kobe,Japan,UKB,"{'lat': 34.632778, 'lng': 135.223889}",24,3943
Gainesville Rgnl,Gainesville,United States,GNV,"{'lat': 29.690056, 'lng': -82.271778}",24,3472
Alice Springs,Alice Springs,Australia,ASP,"{'lat': -23.806667, 'lng': 133.902222}",24,3319
Jammu,Jammu,India,IXJ,"{'lat': 32.689142, 'lng': 74.837389}",24,3100
Terrance B Lettsome Intl,Tortola,British Virgin Islands,EIS,"{'lat': 18.444834, 'lng': -64.542975}",24,2903
Rafael Nunez,Cartagena,Colombia,CTG,"{'lat': 10.442381, 'lng': -75.512961}",24,2714
Cataratas Intl,Foz Do Iguacu,Brazil,IGU,"{'lat': -25.59615, 'lng': -54.487206}",24,2554
Matsuyama,Matsuyama,Japan,MYJ,"{'lat': 33.827222, 'lng': 132.699722}",24,2333
Multan Intl,Multan,Pakistan,MUX,"{'lat': 30.203222, 'lng': 71.419111}",24,2214
Juan Gualberto Gomez Intl,Varadero,Cuba,VRA,"{'lat': 23.034445, 'lng': -81.435278}",24,1923
Abraham Gonzalez Intl,Ciudad Juarez,Mexico,CJS,"{'lat': 31.636133, 'lng': -106.428667}",24,1796
Bern Belp,Bern,Switzerland,BRN,"{'lat': 46.9141, 'lng': 7.497153}",24,1676
Iasi,Iasi,Romania,IAS,"{'lat': 47.178492, 'lng': 27.620631}",24,1655
A Coruna,La Coruna,Spain,LCG,"{'lat': 43.302061, 'lng': -8.377256}",24,1220
Burgas,Bourgas,Bulgaria,BOJ,"{'lat': 42.569583, 'lng': 27.515236}",24,1191
Zanzibar,Zanzibar,Tanzania,ZNZ,"{'lat': -6.222025, 'lng': 39.224886}",24,1186
Juba,Juba,South Sudan,JUB,"{'lat': 4.872006, 'lng': 31.601117}",24,1173
Sialkot Airport,Sialkot,Pakistan,SKT,"{'lat': 32.5356, 'lng': 74.3639}",23,6776
Londrina,Londrina,Brazil,LDB,"{'lat': -23.333625, 'lng': -51.130072}",23,2581
Nausori Intl,Nausori,Fiji,SUV,"{'lat': -18.043267, 'lng': 178.559228}",23,1961
Linz,Linz,Austria,LNZ,"{'lat': 48.233219, 'lng': 14.187511}",23,1611
Bale Mulhouse,Mulhouse,France,MLH,"{'lat': 47.589583, 'lng': 7.529914}",23,1423
Nouakchott,Nouakschott,Mauritania,NKC,"{'lat': 18.097856, 'lng': -15.947956}",23,1094
Fuyang Airport,Fuyang,China,FUG,"{'lat': 32.9, 'lng': 115.816667}",22,7503
Manzhouli,Manzhouli,China,NZH,"{'lat': 49.566667, 'lng': 117.329444}",22,6954
Jasionka,Rzeszow,Poland,RZE,"{'lat': 50.109958, 'lng': 22.019}",22,675
Kjevik,Kristiansand,Norway,KRS,"{'lat': 58.204214, 'lng': 8.085369}",22,638
Datong Airport,Datong,China,DAT,"{'lat': 40.0603, 'lng': 113.482}",22,6344
Belgorod International Airport,Belgorod,Russia,EGO,"{'lat': 50.6438, 'lng': 36.5901}",22,6156
Santo Pekoa International Airport,Santo,Vanuatu,SON,"{'lat': -15.505033, 'lng': 167.219742}",22,5908
Kirkwall,Kirkwall,United Kingdom,KOI,"{'lat': 58.957778, 'lng': -2.9050000000000002}",22,529
Isle Of Man,Isle Of Man,Isle of Man,IOM,"{'lat': 54.083333, 'lng': -4.623889}",22,520
South Bend Rgnl,South Bend,United States,SBN,"{'lat': 41.708661, 'lng': -86.31725}",22,4359
San Pedro,San Pedro,Belize,SPR,"{'lat': 17.913936, 'lng': -87.971075}",22,4279
Nadzab,Nadzab,Papua New Guinea,LAE,"{'lat': -6.569828, 'lng': 146.726242}",22,4
Riyan,Mukalla,Yemen,RIY,"{'lat': 14.662639, 'lng': 49.375028}",22,3974
Chiang Rai Intl,Chiang Rai,Thailand,CEI,"{'lat': 19.952342, 'lng': 99.882928}",22,3932
Paderborn Lippstadt,Paderborn,Germany,PAD,"{'lat': 51.614089, 'lng': 8.616317}",22,371
Munster Osnabruck,Munster,Germany,FMO,"{'lat': 52.134642, 'lng': 7.684831}",22,341
Port Blair,Port Blair,India,IXZ,"{'lat': 11.641161, 'lng': 92.729744}",22,3146
Raipur,Raipur,India,RPR,"{'lat': 21.180406, 'lng': 81.738753}",22,3020
Mount Hagen,Mount Hagen,Papua New Guinea,HGU,"{'lat': -5.826789, 'lng': 144.295861}",22,3
Mukhino,Ulan-ude,Russia,UUD,"{'lat': 51.807764, 'lng': 107.437644}",22,2938
