name,city,country,iata_code,_geoloc,links_count,objectID
Eduardo Falla Solano,San Vincente De Caguan,Colombia,SVI,"{'lat': 2.152175, 'lng': -74.76635}",4,2750
Jorge E Gonzalez Torres,San Jose Del Guaviare,Colombia,SJE,"{'lat': 2.579694, 'lng': -72.639358}",4,2747
Benito Salas,Neiva,Colombia,NVA,"{'lat': 2.95015, 'lng': -75.294}",4,2734
Juan Casiano,Guapi,Colombia,GPI,"{'lat': 2.5701330000000002, 'lng': -77.8986}",4,2722
Gustavo Artunduaga Paredes,Florencia,Colombia,FLA,"{'lat': 1.589189, 'lng': -75.564372}",4,2719
Las Brujas,Corozal,Colombia,CZU,"{'lat': 9.332742, 'lng': -75.285594}",4,2717
Gerardo Tobar Lopez,Buenaventura,Colombia,BUN,"{'lat': 3.819628, 'lng': -76.989767}",4,2712
El Eden,Armenia,Colombia,AXM,"{'lat': 4.452775, 'lng': -75.766447}",4,2705
Seymour,Galapagos,Ecuador,GPS,"{'lat': -0.453758, 'lng': -90.265914}",4,2672
Pichoy,Valdivia,Chile,ZAL,"{'lat': -39.649956, 'lng': -73.086111}",4,2667
Mataveri Intl,Easter Island,Chile,IPC,"{'lat': -27.164792, 'lng': -109.421831}",4,2657
Calabar,Calabar,Nigeria,CBQ,"{'lat': 4.976019, 'lng': 8.347197}",4,263
Benin,Benin,Nigeria,BNI,"{'lat': 6.316981, 'lng': 5.599503}",4,262
Rio Grande,Rio Grande,Brazil,RIG,"{'lat': -32.082617, 'lng': -52.166542}",4,2611
Santo Angelo,Santo Angelo,Brazil,GEL,"{'lat': -28.281683, 'lng': -54.169139}",4,2596
Presidente Joao Suassuna,Campina Grande,Brazil,CPV,"{'lat': -7.2699169999999995, 'lng': -35.896364}",4,2577
Presidente Prudente,President Prudente,Brazil,PPB,"{'lat': -22.175056, 'lng': -51.424639}",4,2550
Forquilhinha,Criciuma,Brazil,CCM,"{'lat': -28.725817, 'lng': -49.424739}",4,2541
Aracatuba,Aracatuba,Brazil,ARU,"{'lat': -21.141342, 'lng': -50.424722}",4,2525
Takoradi,Takoradi,Ghana,TKD,"{'lat': 4.896056, 'lng': -1.774756}",4,252
Rio Grande,Rio Grande,Argentina,RGA,"{'lat': -53.777667, 'lng': -67.749389}",4,2495
Jujuy,Jujuy,Argentina,JUJ,"{'lat': -24.392778, 'lng': -65.097778}",4,2477
Bobo Dioulasso,Bobo-dioulasso,Burkina Faso,BOY,"{'lat': 11.160056, 'lng': -4.330969}",4,247
San Juan,San Julian,Argentina,UAQ,"{'lat': -31.571472, 'lng': -68.418194}",4,2461
Teniente Benjamin Matienzo,Tucuman,Argentina,TUC,"{'lat': -26.840861, 'lng': -65.104944}",4,2460
San Rafael,San Rafael,Argentina,AFA,"{'lat': -34.588314, 'lng': -68.403854}",4,2454
Sauce Viejo,Santa Fe,Argentina,SFN,"{'lat': -31.711666, 'lng': -60.811668}",4,2441
In Amenas,Zarzaitine,Algeria,IAM,"{'lat': 28.05155, 'lng': 9.642911}",4,244
General Urquiza,Parana,Argentina,PRA,"{'lat': -31.794778, 'lng': -60.480361}",4,2439
Pagadian,Pagadian,Philippines,PAG,"{'lat': 7.827197, 'lng': 123.458294}",4,2401
El Golea,El Golea,Algeria,ELG,"{'lat': 30.571294, 'lng': 2.859586}",4,236
Misawa Ab,Misawa,Japan,MSJ,"{'lat': 40.703222, 'lng': 141.368364}",4,2346
Tokushima,Tokushima,Japan,TKS,"{'lat': 34.132808, 'lng': 134.606639}",4,2336
Amami,Amami,Japan,ASJ,"{'lat': 28.430633, 'lng': 129.712542}",4,2316
Iki,Iki,Japan,IKI,"{'lat': 33.749027, 'lng': 129.785417}",4,2295
Wakkanai,Wakkanai,Japan,WKJ,"{'lat': 45.404167, 'lng': 141.800833}",4,2294
Nakashibetsu,Nakashibetsu,Japan,SHB,"{'lat': 43.5775, 'lng': 144.96}",4,2291
Matsumoto,Matsumoto,Japan,MMJ,"{'lat': 36.166758, 'lng': 137.922669}",4,2280
Yap Intl,Yap,Micronesia,YAP,"{'lat': 9.498911, 'lng': 138.082497}",4,2258
Kosrae,Kosrae,Micronesia,KSA,"{'lat': 5.356975, 'lng': 162.958386}",4,2257
Chuuk Intl,Chuuk,Micronesia,TKK,"{'lat': 7.461869, 'lng': 151.843006}",4,2254
Rota Intl,Rota,Northern Mariana Islands,ROP,"{'lat': 14.174308, 'lng': 145.242536}",4,2243
Hassi R Mel,Tilrempt,Algeria,HRM,"{'lat': 32.930431, 'lng': 3.311542}",4,224
